"Tabela 6782 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por direção dos trabalhos do estabelecimento agropecuário e origem da orientação técnica recebida - resultados preliminares 2017"
"Variável - Número de estabelecimentos agropecuários que produziram leite (Unidades)"
"Município";"Origem da orientação técnica recebida";"Ano x Direção dos trabalhos do estabelecimento agropecuário"
"Município";"Origem da orientação técnica recebida";"2017"
"Município";"Origem da orientação técnica recebida";"Total"
"Aceguá (RS)";"Total";"261"
"Água Santa (RS)";"Total";"246"
"Agudo (RS)";"Total";"864"
"Ajuricaba (RS)";"Total";"380"
"Alecrim (RS)";"Total";"664"
"Alegrete (RS)";"Total";"441"
"Alegria (RS)";"Total";"442"
"Almirante Tamandaré do Sul (RS)";"Total";"183"
"Alpestre (RS)";"Total";"793"
"Alto Alegre (RS)";"Total";"136"
"Alto Feliz (RS)";"Total";"80"
"Alvorada (RS)";"Total";"7"
"Amaral Ferrador (RS)";"Total";"217"
"Ametista do Sul (RS)";"Total";"238"
"André da Rocha (RS)";"Total";"35"
"Anta Gorda (RS)";"Total";"414"
"Antônio Prado (RS)";"Total";"278"
"Arambaré (RS)";"Total";"32"
"Araricá (RS)";"Total";"21"
"Aratiba (RS)";"Total";"427"
"Arroio do Meio (RS)";"Total";"371"
"Arroio do Sal (RS)";"Total";"17"
"Arroio do Padre (RS)";"Total";"150"
"Arroio dos Ratos (RS)";"Total";"12"
"Arroio do Tigre (RS)";"Total";"949"
"Arroio Grande (RS)";"Total";"282"
"Arvorezinha (RS)";"Total";"347"
"Augusto Pestana (RS)";"Total";"429"
"Áurea (RS)";"Total";"196"
"Bagé (RS)";"Total";"278"
"Balneário Pinhal (RS)";"Total";"3"
"Barão (RS)";"Total";"176"
"Barão de Cotegipe (RS)";"Total";"337"
"Barão do Triunfo (RS)";"Total";"121"
"Barracão (RS)";"Total";"340"
"Barra do Guarita (RS)";"Total";"135"
"Barra do Quaraí (RS)";"Total";"14"
"Barra do Ribeiro (RS)";"Total";"71"
"Barra do Rio Azul (RS)";"Total";"158"
"Barra Funda (RS)";"Total";"121"
"Barros Cassal (RS)";"Total";"468"
"Benjamin Constant do Sul (RS)";"Total";"144"
"Bento Gonçalves (RS)";"Total";"137"
"Boa Vista das Missões (RS)";"Total";"58"
"Boa Vista do Buricá (RS)";"Total";"344"
"Boa Vista do Cadeado (RS)";"Total";"233"
"Boa Vista do Incra (RS)";"Total";"170"
"Boa Vista do Sul (RS)";"Total";"246"
"Bom Jesus (RS)";"Total";"270"
"Bom Princípio (RS)";"Total";"92"
"Bom Progresso (RS)";"Total";"121"
"Bom Retiro do Sul (RS)";"Total";"114"
"Boqueirão do Leão (RS)";"Total";"423"
"Bossoroca (RS)";"Total";"143"
"Bozano (RS)";"Total";"167"
"Braga (RS)";"Total";"155"
"Brochier (RS)";"Total";"115"
"Butiá (RS)";"Total";"31"
"Caçapava do Sul (RS)";"Total";"688"
"Cacequi (RS)";"Total";"95"
"Cachoeira do Sul (RS)";"Total";"864"
"Cachoeirinha (RS)";"Total";"1"
"Cacique Doble (RS)";"Total";"290"
"Caibaté (RS)";"Total";"227"
"Caiçara (RS)";"Total";"447"
"Camaquã (RS)";"Total";"1149"
"Camargo (RS)";"Total";"214"
"Cambará do Sul (RS)";"Total";"94"
"Campestre da Serra (RS)";"Total";"110"
"Campina das Missões (RS)";"Total";"595"
"Campinas do Sul (RS)";"Total";"178"
"Campo Bom (RS)";"Total";"24"
"Campo Novo (RS)";"Total";"111"
"Campos Borges (RS)";"Total";"142"
"Candelária (RS)";"Total";"1299"
"Cândido Godói (RS)";"Total";"723"
"Candiota (RS)";"Total";"241"
"Canela (RS)";"Total";"63"
"Canguçu (RS)";"Total";"3527"
"Canoas (RS)";"Total";"7"
"Canudos do Vale (RS)";"Total";"237"
"Capão Bonito do Sul (RS)";"Total";"182"
"Capão da Canoa (RS)";"Total";"11"
"Capão do Cipó (RS)";"Total";"123"
"Capão do Leão (RS)";"Total";"65"
"Capivari do Sul (RS)";"Total";"11"
"Capela de Santana (RS)";"Total";"35"
"Capitão (RS)";"Total";"152"
"Carazinho (RS)";"Total";"124"
"Caraá (RS)";"Total";"374"
"Carlos Barbosa (RS)";"Total";"300"
"Carlos Gomes (RS)";"Total";"175"
"Casca (RS)";"Total";"424"
"Caseiros (RS)";"Total";"179"
"Catuípe (RS)";"Total";"487"
"Caxias do Sul (RS)";"Total";"614"
"Centenário (RS)";"Total";"263"
"Cerrito (RS)";"Total";"254"
"Cerro Branco (RS)";"Total";"221"
