"Tabela 6783 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por grupos de área de pastagem e grupos de área total - resultados preliminares 2017"
"Variável - Quantidade produzida de leite de vaca (Mil litros)"
"Município";"Ano x Grupos de área total x Grupos de área de pastagem"
"Município";"2017"
"Município";"Total"
"Município";"Total"
"Aceguá (RS)";"25732"
"Água Santa (RS)";"21827"
"Agudo (RS)";"2974"
"Ajuricaba (RS)";"41977"
"Alecrim (RS)";"14605"
"Alegrete (RS)";"12953"
"Alegria (RS)";"13925"
"Almirante Tamandaré do Sul (RS)";"15689"
"Alpestre (RS)";"9095"
"Alto Alegre (RS)";"7660"
"Alto Feliz (RS)";"906"
"Alvorada (RS)";"85"
"Amaral Ferrador (RS)";"456"
"Ametista do Sul (RS)";"1926"
"André da Rocha (RS)";"275"
"Anta Gorda (RS)";"29870"
"Antônio Prado (RS)";"8083"
"Arambaré (RS)";"111"
"Araricá (RS)";"112"
"Aratiba (RS)";"17227"
"Arroio do Meio (RS)";"26262"
"Arroio do Sal (RS)";"41"
"Arroio do Padre (RS)";"2597"
"Arroio dos Ratos (RS)";"96"
"Arroio do Tigre (RS)";"6265"
"Arroio Grande (RS)";"7692"
"Arvorezinha (RS)";"5103"
"Augusto Pestana (RS)";"48067"
"Áurea (RS)";"6318"
"Bagé (RS)";"4079"
"Balneário Pinhal (RS)";"6"
"Barão (RS)";"8923"
"Barão de Cotegipe (RS)";"15781"
"Barão do Triunfo (RS)";"221"
"Barracão (RS)";"4771"
"Barra do Guarita (RS)";"2846"
"Barra do Quaraí (RS)";"862"
"Barra do Ribeiro (RS)";"438"
"Barra do Rio Azul (RS)";"7794"
"Barra Funda (RS)";"6188"
"Barros Cassal (RS)";"3300"
"Benjamin Constant do Sul (RS)";"2913"
"Bento Gonçalves (RS)";"541"
"Boa Vista das Missões (RS)";"6415"
"Boa Vista do Buricá (RS)";"24801"
"Boa Vista do Cadeado (RS)";"7657"
"Boa Vista do Incra (RS)";"10784"
"Boa Vista do Sul (RS)";"6679"
"Bom Jesus (RS)";"3874"
"Bom Princípio (RS)";"1221"
"Bom Progresso (RS)";"4769"
"Bom Retiro do Sul (RS)";"8818"
"Boqueirão do Leão (RS)";"3495"
"Bossoroca (RS)";"1911"
"Bozano (RS)";"6142"
"Braga (RS)";"4329"
"Brochier (RS)";"3078"
"Butiá (RS)";"763"
"Caçapava do Sul (RS)";"3050"
"Cacequi (RS)";"978"
"Cachoeira do Sul (RS)";"3448"
"Cachoeirinha (RS)";"X"
"Cacique Doble (RS)";"10844"
"Caibaté (RS)";"6268"
"Caiçara (RS)";"13597"
"Camaquã (RS)";"4382"
"Camargo (RS)";"11905"
"Cambará do Sul (RS)";"720"
"Campestre da Serra (RS)";"448"
"Campina das Missões (RS)";"37729"
"Campinas do Sul (RS)";"11017"
"Campo Bom (RS)";"141"
"Campo Novo (RS)";"4015"
"Campos Borges (RS)";"5496"
"Candelária (RS)";"5061"
"Cândido Godói (RS)";"41347"
"Candiota (RS)";"4788"
