"Tabela 6913 - Número de estabelecimentos agropecuários que produziram leite de vaca, Vacas ordenhadas nos estabelecimentos agropecuários, Quantidade produzida de leite de vaca, Valor da produção de leite de vaca, Número de estabelecimentos agropecuários que venderam leite de vaca cru, Quantidade vendida de leite de vaca cru e Valor da venda de leite de vaca cru, por tipologia, grupos de atividade econômica e grupos de área total",
Variável - Número de estabelecimentos agropecuários que produziram leite de vaca (Unidades),
Brasil,
Ano - 2017,
Tipologia - Total,
Grupos de atividade econômica - Total,
Grupos de área total,
"Mais de 0 a menos de 0,1 ha",1454
"De 0,1 a menos de 0,2 ha",1225
"De 0,2 a menos de 0,5 ha",3463
"De 0,5 a menos de 1 ha",9226
De 1 a menos de 2 ha,26728
De 2 a menos de 3 ha,34948
De 3 a menos de 4 ha,37352
De 4 a menos de 5 ha,40404
De 5 a menos de 10 ha,156586
De 10 a menos de 20 ha,243911
De 20 a menos de 50 ha,316978
De 50 a menos de 100 ha,145862
De 100 a menos de 200 ha,79295
De 200 a menos de 500 ha,49530
De 500 a menos de 1.000 ha,15732
De 1.000 a menos de 2.500 ha,8282
De 2.500 a menos de 10.000 ha,2778
De 10.000 ha e mais,338
Produtor sem área,2203
Fonte: IBGE - Censo Agropecuário,
