"Tabela 6913 - Número de estabelecimentos agropecuários com bovinos, Efetivos, Venda e Produção de leite, por grupos de área de pastagem e grupos de área total - 2017",
Variável - Quantidade produzida de leite de vaca (Mil litros),
Município,Ano x Grupos de área total x Grupos de área de pastagem
Município,2017
Município,Total
Município,Total
Aceguá (RS),26740
Água Santa (RS),21555
Agudo (RS),3281
Ajuricaba (RS),36919
Alecrim (RS),14738
Alegrete (RS),13423
Alegria (RS),12191
Almirante Tamandaré do Sul (RS),12512
Alpestre (RS),9228
Alto Alegre (RS),7675
Alto Feliz (RS),964
Alvorada (RS),X
Amaral Ferrador (RS),655
Ametista do Sul (RS),1987
André da Rocha (RS),464
Anta Gorda (RS),29659
Antônio Prado (RS),7891
Arambaré (RS),133
Araricá (RS),116
Aratiba (RS),17268
Arroio do Meio (RS),25462
Arroio do Sal (RS),104
Arroio do Padre (RS),2678
Arroio dos Ratos (RS),117
Arroio do Tigre (RS),6422
Arroio Grande (RS),7296
Arvorezinha (RS),5103
Augusto Pestana (RS),46967
Áurea (RS),6334
Bagé (RS),4174
Balneário Pinhal (RS),6
Barão (RS),8486
Barão de Cotegipe (RS),15793
Barão do Triunfo (RS),244
Barracão (RS),4572
Barra do Guarita (RS),2923
Barra do Quaraí (RS),868
Barra do Ribeiro (RS),443
Barra do Rio Azul (RS),8031
Barra Funda (RS),6143
Barros Cassal (RS),3333
Benjamin Constant do Sul (RS),2913
Bento Gonçalves (RS),606
Boa Vista das Missões (RS),5069
Boa Vista do Buricá (RS),24464
Boa Vista do Cadeado (RS),7783
Boa Vista do Incra (RS),10974
Boa Vista do Sul (RS),6699
Bom Jesus (RS),4395
Bom Princípio (RS),1335
Bom Progresso (RS),4812
Bom Retiro do Sul (RS),8577
Boqueirão do Leão (RS),3550
Bossoroca (RS),1980
Bozano (RS),6096
Braga (RS),4362
Brochier (RS),2766
Butiá (RS),786
Caçapava do Sul (RS),3260
Cacequi (RS),1021
Cachoeira do Sul (RS),3790
Cachoeirinha (RS),X
Cacique Doble (RS),10893
Caibaté (RS),6286
Caiçara (RS),13904
Camaquã (RS),4573
Camargo (RS),11613
Cambará do Sul (RS),780
Campestre da Serra (RS),550
Campina das Missões (RS),37798
Campinas do Sul (RS),10358
Campo Bom (RS),176
Campo Novo (RS),4242
Campos Borges (RS),5507
Candelária (RS),5360
Cândido Godói (RS),41092
Candiota (RS),4918
Canela (RS),334
Canguçu (RS),22922
Canoas (RS),44
Canudos do Vale (RS),6717
Capão Bonito do Sul (RS),5025
Capão da Canoa (RS),62
Capão do Cipó (RS),3183
Capão do Leão (RS),5938
Capivari do Sul (RS),42
Capela de Santana (RS),493
Capitão (RS),5525
Carazinho (RS),5210
Caraá (RS),822
Carlos Barbosa (RS),23158
Carlos Gomes (RS),4603
Casca (RS),31557
Caseiros (RS),8822
Catuípe (RS),24513
Caxias do Sul (RS),7447
Centenário (RS),6964
Cerrito (RS),7664
Cerro Branco (RS),774
Cerro Grande (RS),4426
Cerro Grande do Sul (RS),500
Cerro Largo (RS),17989
Chapada (RS),27584
Charqueadas (RS),1952
Charrua (RS),9071
Chiapetta (RS),12738
Chuí (RS),X
Chuvisca (RS),1041
Cidreira (RS),18
Ciríaco (RS),5221
Colinas (RS),7385
Colorado (RS),11260
Condor (RS),22987
Constantina (RS),22254
Coqueiro Baixo (RS),5993
Coqueiros do Sul (RS),16555
Coronel Barros (RS),6537
Coronel Bicaco (RS),7454
Coronel Pilar (RS),2638
Cotiporã (RS),6480
Coxilha (RS),12762
Crissiumal (RS),41772
Cristal (RS),1863
Cristal do Sul (RS),3116
Cruz Alta (RS),8362
Cruzaltense (RS),8769
Cruzeiro do Sul (RS),10441
David Canabarro (RS),14056
Derrubadas (RS),10315
Dezesseis de Novembro (RS),1222
Dilermando de Aguiar (RS),733
Dois Irmãos (RS),525
Dois Irmãos das Missões (RS),11201
Dois Lajeados (RS),11578
Dom Feliciano (RS),1734
Dom Pedro de Alcântara (RS),38
Dom Pedrito (RS),1597
Dona Francisca (RS),1599
Doutor Maurício Cardoso (RS),11554
Doutor Ricardo (RS),3846
Eldorado do Sul (RS),1602
Encantado (RS),4559
Encruzilhada do Sul (RS),2022
Engenho Velho (RS),3445
Entre-Ijuís (RS),9309
Entre Rios do Sul (RS),4030
Erebango (RS),5922
Erechim (RS),18618
Ernestina (RS),9427
Herval (RS),3156
Erval Grande (RS),7987
Erval Seco (RS),16612
Esmeralda (RS),1848
Esperança do Sul (RS),8690
Espumoso (RS),14351
Estação (RS),6363
Estância Velha (RS),231
Estrela (RS),35724
Estrela Velha (RS),5239
Eugênio de Castro (RS),8844
Fagundes Varela (RS),12623
Farroupilha (RS),10505
Faxinal do Soturno (RS),2910
Faxinalzinho (RS),5087
Fazenda Vilanova (RS),5597
Feliz (RS),715
Flores da Cunha (RS),1097
Floriano Peixoto (RS),3590
Fontoura Xavier (RS),4083
Formigueiro (RS),537
Forquetinha (RS),7769
Fortaleza dos Valos (RS),15821
Frederico Westphalen (RS),17026
Garibaldi (RS),1685
Garruchos (RS),1564
Gaurama (RS),9147
General Câmara (RS),1785
Gentil (RS),6889
Getúlio Vargas (RS),11587
Giruá (RS),17410
Glorinha (RS),2174
Gramado (RS),1238
Gramado dos Loureiros (RS),3747
Gramado Xavier (RS),904
Gravataí (RS),2651
Guabiju (RS),14543
Guaíba (RS),422
Guaporé (RS),13105
Guarani das Missões (RS),16412
Harmonia (RS),664
Herveiras (RS),541
Horizontina (RS),14372
Hulha Negra (RS),16459
Humaitá (RS),19574
Ibarama (RS),700
Ibiaçá (RS),9009
Ibiraiaras (RS),20737
Ibirapuitã (RS),7561
Ibirubá (RS),56594
Igrejinha (RS),725
Ijuí (RS),44881
Ilópolis (RS),3687
Imbé (RS),29
Imigrante (RS),5487
Independência (RS),11197
Inhacorá (RS),3975
Ipê (RS),7577
Ipiranga do Sul (RS),10039
Iraí (RS),9350
Itaara (RS),212
Itacurubi (RS),2268
Itapuca (RS),4315
Itaqui (RS),1556
Itati (RS),110
Itatiba do Sul (RS),4570
Ivorá (RS),1846
Ivoti (RS),511
Jaboticaba (RS),7941
Jacuizinho (RS),4667
Jacutinga (RS),4820
Jaguarão (RS),1373
Jaguari (RS),2299
Jaquirana (RS),1474
Jari (RS),2339
Jóia (RS),25365
Júlio de Castilhos (RS),20161
Lagoa Bonita do Sul (RS),423
Lagoão (RS),2063
Lagoa dos Três Cantos (RS),6427
Lagoa Vermelha (RS),17061
Lajeado (RS),2458
Lajeado do Bugre (RS),2474
Lavras do Sul (RS),927
Liberato Salzano (RS),9717
Lindolfo Collor (RS),246
Linha Nova (RS),307
Machadinho (RS),7711
Maçambará (RS),67
Mampituba (RS),217
Manoel Viana (RS),2019
Maquiné (RS),333
Maratá (RS),2590
Marau (RS),38843
Marcelino Ramos (RS),6213
Mariana Pimentel (RS),120
Mariano Moro (RS),4703
Marques de Souza (RS),9792
Mata (RS),796
Mato Castelhano (RS),6612
Mato Leitão (RS),5390
Mato Queimado (RS),6626
Maximiliano de Almeida (RS),8682
Minas do Leão (RS),29
Miraguaí (RS),9152
Montauri (RS),11410
Monte Alegre dos Campos (RS),759
Monte Belo do Sul (RS),268
Montenegro (RS),1796
Mormaço (RS),2129
Morrinhos do Sul (RS),99
Morro Redondo (RS),4021
Morro Reuter (RS),546
Mostardas (RS),136
Muçum (RS),2274
Muitos Capões (RS),2921
Muliterno (RS),8729
Não-Me-Toque (RS),11081
Nicolau Vergueiro (RS),6999
Nonoai (RS),6410
Nova Alvorada (RS),12156
Nova Araçá (RS),14286
Nova Bassano (RS),40612
Nova Boa Vista (RS),11958
Nova Bréscia (RS),9311
Nova Candelária (RS),23438
