"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Unidade da Federação";"Ano x Tipo de produto de origem animal"
"Brasil e Unidade da Federação";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Unidade da Federação";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Brasil";"7101261";"7947382";"8256942";"9565637";"9782169";"10187228";"11162245";"11323967";"11461215";"11463018";"11932908";"12078398";"12491814";"12996496";"13521881";"14094857";"14484414";"15079187";"15784011";"15590882";"15783557";"16474365";"18515391";"18666011";"18693915";"19070048";"19767206";"20509953";"21642780";"22253863";"23474694";"24620859";"25398219";"26137266";"27585346";"29085495";"30715460";"32096214";"32304421";"34255236";"35124360";"34609588";"33656162";"33490810"
"Rondônia";"711";"2028";"2598";"3034";"4838";"10204";"33361";"10418";"13666";"29391";"54122";"58314";"64866";"62077";"71171";"83769";"158474";"251988";"261973";"259625";"169031";"202189";"317250";"335914";"371975";"408750";"422255";"475596";"644103";"558651";"646437";"692411";"637355";"708349";"723108";"746873";"802969";"706647";"716829";"920496";"940621";"817520";"790947";"1030595"
"Acre";"7242";"8872";"10409";"11495";"11506";"12062";"18806";"23934";"27950";"28247";"28500";"20645";"16483";"17174";"18549";"19347";"21431";"22295";"20660";"30125";"30299";"29696";"31356";"31831";"32851";"36626";"40804";"85773";"103848";"100039";"109154";"79665";"98096";"80489";"70054";"42595";"41059";"42254";"42732";"47125";"51921";"58470";"56870";"46489"
"Amazonas";"16138";"10115";"10353";"10968";"11370";"12135";"5902";"6005";"6412";"7124";"7396";"10908";"28857";"30448";"33078";"34705";"36617";"38653";"38205";"41337";"45140";"48977";"27004";"32488";"35436";"36055";"36680";"37704";"39571";"41605";"42912";"43881";"45368";"19505";"40656";"41749";"47203";"52033";"48165";"48969";"51337";"47687";"45978";"42925"
"Roraima";"10042";"6382";"6412";"6700";"6741";"5800";"7929";"8209";"2947";"3694";"3254";"5859";"6320";"8426";"12354";"12960";"...";"13327";"13625";"...";"11675";"11210";"10660";"9523";"8816";"10001";"9958";"9043";"8200";"8115";"7290";"5797";"5798";"5595";"5117";"5117";"5954";"7012";"8794";"10137";"11260";"13091";"13141";"16708"
"Pará";"22028";"20838";"22901";"23453";"26736";"33301";"78669";"97665";"164061";"166830";"178731";"166954";"209366";"242633";"210791";"216220";"231497";"244569";"273767";"293014";"297451";"308184";"237899";"290210";"311316";"311162";"380319";"459165";"581652";"585333";"639102";"697021";"691099";"643192";"599538";"596759";"563777";"590551";"560916";"539490";"554195";"567231";"577522";"612810"
"Amapá";"2412";"1800";"800";"1858";"1995";"963";"480";"1145";"1212";"1827";"1752";"1626";"1657";"2494";"1920";"1513";"1685";"1981";"1686";"2210";"2545";"2710";"2468";"2832";"2713";"3062";"3735";"3307";"3340";"3240";"3274";"4014";"4433";"5743";"5271";"6706";"6952";"9481";"10996";"10948";"11670";"5677";"5983";"5253"
"Tocantins";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"94542";"105511";"111541";"115582";"88821";"95840";"103731";"144150";"138084";"140319";"152726";"156018";"166020";"186069";"201282";"214720";"220465";"217319";"213695";"222624";"233022";"269491";"267305";"269883";"269255";"325145";"323557";"385563";"432060"
"Maranhão";"32459";"37992";"40869";"54750";"65147";"72135";"105035";"98651";"89687";"77723";"88267";"91989";"92070";"98067";"107342";"124156";"126934";"134399";"131075";"133554";"140462";"145109";"139371";"138962";"137549";"142596";"149976";"155452";"195447";"230205";"286857";"321180";"341206";"335766";"364104";"355082";"375898";"386673";"381637";"385880";"393030";"393341";"371250";"353014"
