"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Brasil";"7101261";"7947382";"8256942";"9565637";"9782169";"10187228";"11162245";"11323967";"11461215";"11463018";"11932908";"12078398";"12491814";"12996496";"13521881";"14094857";"14484414";"15079187";"15784011";"15590882";"15783557";"16474365";"18515391";"18666011";"18693915";"19070048";"19767206";"20509953";"21642780";"22253863";"23474694";"24620859";"25398219";"26137266";"27585346";"29085495";"30715460";"32096214";"32304421";"34255236";"35124360";"34609588";"33656162";"33490810"
"Aceguá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"23494";"24737";"23477";"22938";"23010";"23920";"23922";"24362";"24606";"24975";"25224";"23796";"29127";"29564";"34102";"40039";"43671"
"Água Santa (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1947";"2211";"2363";"2500";"2715";"2747";"3286";"3534";"4190";"4238";"4450";"5532";"5160";"5472";"5608";"5894";"7007";"7358";"10100";"10008";"10108";"10664";"10781";"10200";"18796";"21609";"29478";"31330";"23500"
"Agudo (RS)";"1828";"1778";"1782";"1812";"1485";"1520";"1746";"1750";"1727";"1550";"1405";"1334";"1648";"1532";"2958";"3065";"3143";"3319";"3364";"3834";"3815";"3838";"3385";"4967";"4958";"5014";"4983";"4469";"4534";"4466";"4075";"2842";"2991";"2701";"2747";"2756";"2531";"2542";"2740";"2556";"2800";"3670";"3670";"3500"
"Ajuricaba (RS)";"2321";"2269";"2195";"2127";"2100";"2430";"3132";"3665";"3653";"3770";"3742";"3754";"3865";"3920";"4684";"4681";"4807";"4900";"5148";"5148";"8739";"10100";"15500";"10000";"11500";"12800";"13000";"13000";"11500";"9500";"10500";"11000";"13100";"15600";"23000";"22500";"29000";"32500";"31200";"36000";"38000";"37000";"37500";"41977"
"Alecrim (RS)";"3465";"3934";"3921";"4014";"3423";"3400";"2711";"2459";"2545";"2460";"2569";"1661";"2065";"2087";"3710";"9154";"8136";"7811";"6823";"6104";"6903";"9369";"10357";"10868";"9498";"9945";"11379";"11508";"10493";"10162";"11239";"10932";"11369";"11735";"13144";"14064";"11500";"11771";"11888";"12775";"13350";"10969";"9125";"14605"
"Alegrete (RS)";"8198";"7987";"8052";"8122";"6900";"6693";"7882";"7800";"8059";"8301";"6849";"6869";"8045";"8246";"11827";"13769";"12108";"11731";"11506";"11160";"13011";"11955";"10659";"9424";"8695";"8225";"8035";"8718";"8601";"9401";"10337";"9984";"9562";"9320";"11367";"10664";"11142";"11169";"11065";"11145";"11277";"11556";"11410";"11830"
"Alegria (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2672";"3008";"3008";"3731";"3504";"4134";"5328";"6408";"6249";"5812";"6099";"6813";"7241";"4888";"4140";"4347";"6211";"6459";"8213";"8624";"9123";"11000";"11743";"11919";"12396";"12954";"12980";"12850";"13925"
"Almirante Tamandaré do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"6576";"6684";"6703";"5343";"6045";"6426";"6471";"6494";"6353";"6706";"7106";"7624";"9715";"12000";"13445";"12800";"15630"
