"Tabela 933 - Produção e Venda de leite de vaca no ano nos estabelecimentos agropecuários, por condição do produtor em relação às terras, grupos de área total e grupos de cabeças de bovinos"
"Variável - Quantidade produzida de leite de vaca (Mil litros)"
"Município";"Grupos de cabeças de bovinos";"Ano x Condição do produtor em relação às terras x Grupos de área total"
"Município";"Grupos de cabeças de bovinos";"2006"
"Município";"Grupos de cabeças de bovinos";"Total"
"Município";"Grupos de cabeças de bovinos";"Total"
"Aceguá (RS)";"Total";"18089"
"Água Santa (RS)";"Total";"11140"
"Agudo (RS)";"Total";"1853"
"Ajuricaba (RS)";"Total";"12507"
"Alecrim (RS)";"Total";"11249"
"Alegrete (RS)";"Total";"8035"
"Alegria (RS)";"Total";"7794"
"Almirante Tamandaré do Sul (RS)";"Total";"4399"
"Alpestre (RS)";"Total";"6969"
"Alto Alegre (RS)";"Total";"4793"
"Alto Feliz (RS)";"Total";"1188"
"Alvorada (RS)";"Total";"442"
"Amaral Ferrador (RS)";"Total";"274"
"Ametista do Sul (RS)";"Total";"2448"
"André da Rocha (RS)";"Total";"901"
"Anta Gorda (RS)";"Total";"17550"
"Antônio Prado (RS)";"Total";"6095"
"Arambaré (RS)";"Total";"33"
"Araricá (RS)";"Total";"34"
"Aratiba (RS)";"Total";"14025"
"Arroio do Meio (RS)";"Total";"20451"
"Arroio do Sal (RS)";"Total";"192"
"Arroio do Padre (RS)";"Total";"2387"
"Arroio dos Ratos (RS)";"Total";"73"
"Arroio do Tigre (RS)";"Total";"4654"
"Arroio Grande (RS)";"Total";"2128"
"Arvorezinha (RS)";"Total";"3096"
"Augusto Pestana (RS)";"Total";"19614"
"Áurea (RS)";"Total";"5226"
"Bagé (RS)";"Total";"2882"
"Barão (RS)";"Total";"5866"
"Barão de Cotegipe (RS)";"Total";"13067"
"Barão do Triunfo (RS)";"Total";"382"
"Barracão (RS)";"Total";"3925"
"Barra do Guarita (RS)";"Total";"2359"
"Barra do Quaraí (RS)";"Total";"1962"
"Barra do Ribeiro (RS)";"Total";"172"
